"","word","sentiment","score"
"1","аборт","negative",-1
"2","абортивный","negative",-1
"3","абракадабра","negative",-1
"4","абсурд","negative",-1
"5","абсурдность","negative",-1
"6","абсурдный","negative",-1
"7","авантюра","negative",-1
"8","авантюризм","negative",-1
"9","авантюрист","negative",-1
"10","авантюристический","negative",-1
"11","авантюристка","negative",-1
"12","авантюристский","negative",-1
"13","авантюрный","negative",-1
"15","аварийность","negative",-1
"16","аварийный","negative",-1
"17","авария","negative",-1
"18","авиакатастрофа","negative",-1
"19","авиакрушение","negative",-1
"20","авианалет","negative",-1
"21","авиаудар","negative",-1
"22","авиационный налет","negative",-1
"23","авитаминоз","negative",-1
"24","авитаминозный","negative",-1
"25","аврал","negative",-1
"26","авральный","negative",-1
"27","автовор","negative",-1
"28","автоматная очередь","negative",-1
"29","автоматный огонь","negative",-1
"30","автомобильная пробка","negative",-1
"31","автоподстава","negative",-1
"32","авторитаризм","negative",-1
"33","авторитарность","negative",-1
"34","авторитарный","negative",-1
"35","авторитет падает","negative",-1
"36","авторитет снижается","negative",-1
"37","авторитет снизился","negative",-1
"38","авторитет упал","negative",-1
"39","авторитет","positive",1
"40","авторитетность","positive",1
"41","авторитетный","positive",1
"42","авторитетом не пользоваться","negative",-1
"43","автотрасса перекрыта","negative",-1
"44","автоугон","negative",-1
"45","автоугонщик","negative",-1
"46","агент иностранной разведки","negative",-1
"47","агитка","negative",-1
"48","агонизировать","negative",-1
"49","агония","negative",-1
"50","агрессивность","negative",-1
"51","агрессивный","negative",-1
"52","агрессия","negative",-1
"53","агрессор","negative",-1
"54","агрессорский","negative",-1
"55","ад","negative",-1
"56","адаптационный","positive",1
"57","адаптация","positive",1
"58","адаптивность","positive",1
"59","адаптивный","positive",1
"60","адаптироваться","positive",1
"61","адекватность","positive",1
"62","адекватный","positive",1
"64","административное воздействие","negative",-1
"65","административное давление","negative",-1
"66","административные меры","negative",-1
"67","административный барьер","negative",-1
"68","адов","negative",-1
"69","адовый","negative",-1
"70","адский","negative",-1
"71","ажиотаж","negative",-1
"72","ажиотажный","negative",-1
"73","ажитация","negative",-1
"74","аккуратист","positive",1
"75","аккуратистка","positive",1
"76","аккуратность","positive",1
"77","аккуратный","positive",1
"79","активность","positive",1
"80","активный","positive",1
"81","актуальность","positive",1
"82","актуальный","positive",1
"83","алкатель","negative",-1
"84","алкашка","negative",-1
"85","алкоголизация","negative",-1
"86","алкоголизм","negative",-1
"87","алкоголик","negative",-1
"88","алкоголический","negative",-1
"89","алкоголичка","negative",-1
"90","алкогольная зависимость","negative",-1
"91","алкогольное опьянение","negative",-1
"92","алкогольный угроза","negative",-1
"93","алконавт","negative",-1
"94","аллерген","negative",-1
"95","аллергенный","negative",-1
"96","аллергический","negative",-1
"97","аллергия","negative",-1
"98","алогизм","negative",-1
"99","алогический","negative",-1
"100","алогичность","negative",-1
"101","алогичный","negative",-1
"102","алчность","negative",-1
"103","алчный","negative",-1
"104","альцгеймер","negative",-1
"105","аморальность","negative",-1
"106","аморальный","negative",-1
"107","аморфность","negative",-1
"108","аморфность","negative",-1
"110","аморфный","negative",-1
"111","аморфный","negative",-1
"113","ампутационный","negative",-1
"114","ампутация","negative",-1
"115","ампутированный","negative",-1
"116","ампутировать","negative",-1
"117","анархизм","negative",-1
"118","анархист","negative",-1
"119","анархистка","negative",-1
"120","анархистский","negative",-1
"121","анархический","negative",-1
"122","анархия","negative",-1
"123","ангажированность","negative",-1
"124","ангажированный","negative",-1
"125","ангел","positive",1
"126","ангельский","positive",1
"127","ангина","negative",-1
"128","ангинный","negative",-1
"129","ангиозный","negative",-1
"130","анемический","negative",-1
"131","анемичность","negative",-1
"132","анемичный","negative",-1
"133","анемия","negative",-1
"134","аномалия","negative",-1
"135","аномальность","negative",-1
"136","аномальный","negative",-1
"137","анорексичка","negative",-1
"138","анорексия","negative",-1
"139","антагонизм","negative",-1
"140","антагонист","negative",-1
"141","антагонистический","negative",-1
"142","антагонистичный","negative",-1
"143","антагонистка","negative",-1
"144","антагонистский","negative",-1
"145","антигуманистический","negative",-1
"146","антигуманность","negative",-1
"147","антигуманный","negative",-1
"148","антизаконный","negative",-1
"149","антиконституционность","negative",-1
"150","антиконституционный","negative",-1
"151","антимонопольный","negative",-1
"152","антинародный","negative",-1
"153","антиобщественный","negative",-1
"154","антипатичность","negative",-1
"155","антипатичный","negative",-1
"156","антипатия","negative",-1
"157","антиправительственный","negative",-1
"158","антисанитария","negative",-1
"159","антисанитарный","negative",-1
"160","антисемит","negative",-1
"161","антисемитизм","negative",-1
"162","антисемитка","negative",-1
"163","антисемитский","negative",-1
"164","антисионистский","negative",-1
"165","антисоциальный","negative",-1
"166","антицеллюлитный","positive",1
"167","античеловеческий","negative",-1
"168","античеловечный","negative",-1
"169","антракс","negative",-1
"170","антропофагия","negative",-1
"171","анус","negative",-1
"172","анфолловер","negative",-1
"173","анфолловинг","negative",-1
"174","анфолловить","negative",-1
"175","анфоловить","negative",-1
"176","апартеид","negative",-1
"177","апатический","negative",-1
"178","апатичность","negative",-1
"179","апатичный","negative",-1
"180","апатия","negative",-1
"181","апоплексический","negative",-1
"182","апоплексия","negative",-1
"183","аппетитность","positive",1
"184","аппетитные формы","positive",1
"185","аппетитный","positive",1
"186","арест","negative",-1
"187","арестовать","negative",-1
"188","арестовывать","negative",-1
"189","аристократ","positive",1
"190","аристократизм","positive",1
"191","аристократический","positive",1
"192","аристократичность","positive",1
"193","аристократичный","positive",1
"194","аристократка","positive",1
"195","аритмия","negative",-1
"196","аромат","positive",1
"197","ароматический","positive",1
"198","ароматичность","positive",1
"199","ароматичный","positive",1
"200","ароматность","positive",1
"201","ароматный","positive",1
"202","артачиться","negative",-1
"203","артериосклероз","negative",-1
"204","артеросклероз","negative",-1
"205","артист в своем деле","positive",1
"206","артист своего дела","positive",1
"207","артистизм","positive",1
"208","артистический","positive",1
"209","артистичность","positive",1
"210","артистичный","positive",1
"211","артрит","negative",-1
"212","архаический","negative",-1
"213","архаичность","negative",-1
"214","архаичный","negative",-1
"215","архиважный","positive",1
"216","астма","negative",-1
"217","астматик","negative",-1
"218","астматический","negative",-1
"219","асфиксия","negative",-1
"220","атака","negative",-1
"221","атака","positive",1
"222","атеросклероз","negative",-1
"223","атеросклеротический","negative",-1
"224","атмосферный выброс","negative",-1
"225","аутсайдер","negative",-1
"226","аутсайдерский","negative",-1
"227","афера","negative",-1
"228","аферист","negative",-1
"229","аферистка","negative",-1
"230","аферистский","negative",-1
"231","афигенно","positive",1
"232","афигенный","positive",1
"233","афигеть как","positive",1
"234","афтершок","negative",-1
"235","афтершоковый","negative",-1
"236","ахиллесова пята","negative",-1
"237","ахинея","negative",-1
"238","баба","negative",-1
"239","бабка","negative",-1
"240","бабник","negative",-1
"241","бабский","negative",-1
"242","бабье","negative",-1
"243","базарить","negative",-1
"246","баиньки","positive",1
"247","баклушничать","negative",-1
"248","балабол","negative",-1
"249","балаболка","negative",-1
"250","балбес","negative",-1
"251","балбеска","negative",-1
"252","балда","negative",-1
"253","балдеть","positive",1
"254","балласт","negative",-1
"257","балованный","negative",-1
"258","баловать","negative",-1
"259","баловаться","negative",-1
"260","баловство","negative",-1
"261","банальность","negative",-1
"262","банальный","negative",-1
"263","банальщина","negative",-1
"264","банда","negative",-1
"265","бандгруппа","negative",-1
"266","бандгруппировка","negative",-1
"267","бандит","negative",-1
"268","бандитизм","negative",-1
"269","бандитка","negative",-1
"270","бандитский","negative",-1
"271","бандитствовать","negative",-1
"272","бандитствующий","negative",-1
"273","бандподполье","negative",-1
"274","бандформирование","negative",-1
"275","бандюга","negative",-1
"276","бандюган","negative",-1
"277","банить","negative",-1
"279","банкрот","negative",-1
"280","банкротство","negative",-1
"281","бардак","negative",-1
"282","бардачный","negative",-1
"283","барсеточник","negative",-1
"284","бархатистость","positive",1
"285","бархатистый","positive",1
"286","бархатность","positive",1
"288","бархатный","positive",1
"289","барышнический","negative",-1
"290","барьер","negative",-1
"293","басмач","negative",-1
"294","басмаческий","negative",-1
"295","басмачество","negative",-1
"296","басня","negative",-1
"298","бастовать","negative",-1
"299","бастующий","negative",-1
"300","бахвал","negative",-1
"301","бахвалка","negative",-1
"302","бахвальский","negative",-1
"303","бацилловый","negative",-1
"304","башибузук","negative",-1
"305","башковитость","positive",1
"306","башковитый","positive",1
"307","бдительность","positive",1
"308","бдительный","positive",1
"309","бегство капитала","negative",-1
"310","бегство","negative",-1
"311","беда","negative",-1
"312","бедлам","negative",-1
"313","беднейший","negative",-1
"314","бедненький","positive",1
"315","беднеть","negative",-1
"316","бедность","negative",-1
"317","беднота","negative",-1
"318","бедный","negative",-1
"319","бедняга","negative",-1
"320","бедняжка","negative",-1
"321","бедняк","negative",-1
"322","бедняцкий","negative",-1
"323","бедокурить","negative",-1
"324","бедолага","negative",-1
"325","бедственность","negative",-1
"326","бедственный","negative",-1
"327","бедствие","negative",-1
"328","бедствовать","negative",-1
"329","без зазрения совести","negative",-1
"330","без избытка","positive",1
"331","без инцидентов","positive",1
"332","без колебаний","positive",1
"333","без нареканий","positive",1
"334","без оглядки","positive",1
"335","без ограничений","positive",1
"336","без очереди","positive",1
"337","без предупреждения","negative",-1
"338","без проблем","positive",1
"339","без проволочек","positive",1
"340","без происшествий","positive",1
"341","без серьезных инцидентов","positive",1
"342","без серьезных происшествий","positive",1
"343","без сомнения","positive",1
"344","без страха и упрека","positive",1
"345","без тени сомнения","positive",1
"346","без ума","positive",1
"347","без утайки","positive",1
"348","без электричества оставаться","negative",-1
"349","без электричества остаться","negative",-1
"350","безалаберность","negative",-1
"351","безалаберный","negative",-1
"352","безальтернативность","negative",-1
"353","безальтернативный","negative",-1
"354","безапелляционность","negative",-1
"355","безапелляционный","negative",-1
"356","безбедность","positive",1
"357","безбедный","positive",1
"358","безбилетник","negative",-1
"359","безбилетница","negative",-1
"360","безбилетный проезд","negative",-1
"361","безбожный","negative",-1
"362","безбожный","negative",-1
"363","безбоязненность","positive",1
"364","безбоязненный","positive",1
"365","безверие","negative",-1
"366","безвинность","positive",1
"367","безвинный","positive",1
"368","безвкусие","negative",-1
"369","безвкусица","negative",-1
"370","безвкусность","negative",-1
"371","безвкусность","negative",-1
"372","безвкусный","negative",-1
"373","безвкусный","negative",-1
"374","безвластие","negative",-1
"375","безвозбранность","positive",1
"376","безвозбранный","positive",1
"377","безволие","negative",-1
"378","безвольность","negative",-1
"379","безвольный","negative",-1
"380","безвредность","positive",1
"381","безвредный","positive",1
"382","безвременность","negative",-1
"383","безвременный","negative",-1
"384","безвыходность","negative",-1
"385","безвыходный","negative",-1
"386","безголовость","negative",-1
"387","безголовый","negative",-1
"388","безграмотность","negative",-1
"389","безграмотный","negative",-1
"390","безгреховный","positive",1
"391","безгрешность","positive",1
"392","безгрешный","positive",1
"393","бездарность","negative",-1
"394","бездарный","negative",-1
"395","бездарь","negative",-1
"396","бездействие","negative",-1
"397","бездействовать","negative",-1
"400","безделье","negative",-1
"401","бездельник","negative",-1
"402","бездельница","negative",-1
"403","бездельничать","negative",-1
"404","безденежный","negative",-1
"405","безденежье","negative",-1
"406","бездеятельность","negative",-1
"407","бездеятельный","negative",-1
